Ticker,Empresa,Nota Asvid,Negócios,Nota IA,Setor,Retorno 1M,Retorno 1A,EBITDA (Var. %),Lucro Líq (Var. %),EV/EBITDA,P/L,DL/EBITDA,DL/EBITDA (Var. %),Valor de Mercado,Comentário Asvid
MDNE3,Moura Dubeux,5,"3,469",5,Construção Civil,-17.94%,80.1%,16%,20%,5.6,6.7,0.16,-77%,2.932B,Moura Dubeux também está virando sinônimo de recordes em cima de recordes. Atenção para o follow on recente e suas consequências
MULT3,Multiplan,5,"7,932",5,Shoppings,-12.09%,18.3%,5.8%,7.2%,9.5,13,2.1,-8.6%,15.6B,"A Multiplan agora tem venda de imóveis no resultado para prestar atenção, mas tudo continua excelente por aqui"
DIRR3,Direcional,5,"6,455",5,Construção Civil,-11.16%,17.9%,9.3%,7.8%,6.6,6.6,0.63,3.3%,7.058B,"Direcional é padrão ouro entre as construtoras, resultado excelente há anos e ficando cada vez melhor"
PSSA3,Porto,5,"5,442",4,Seguros,-8.978%,7.29%,3.4%,8.6%,5.2,8.8,-,0%,31.84B,"Resultado excelente da Porto, as seguradoras estão ganhando nas duas pontas e tendo resultados espetaculares"
BPAC11,BTG Pactual,5,"18,796",5,Bancos,-13.06%,39.3%,,8.2%,,27,-,0%,270.1B,"BTG voando mais uma vez, impressionante o resultado da empresa nesse ambiente econômico"
IGTI11,Iguatemi,5,"5,878",5,Shoppings,-12.35%,20.7%,13%,22%,29,53,1.4,-24%,7.801B,"Acho que já dá para dizer que todos os shoppings estão voando, um resultado melhor que o outro, Iguatemi incluso"
MOVI3,Movida,5,"9,107",5,Locação - Veículos,-34.19%,49.1%,4%,14%,3.8,14,3.1,-1.9%,4.219B,"Mais um resultado excelente da Movida, como tem virado regra. Yield, spread, desalavancagem, tudo em um cenário muito complicado"
CPLE3,Copel,5,"23,060",4,Energia - Distribuição,-10.73%,39.6%,2.6%,1.1%,9.3,17,2.7,4.6%,44.35B,"Mais um bom resultado da Copel, que já faz tempo que é uma das melhores elétricas da bolsa, destaque para o leilão de capacidade"
TOTS3,Totvs,5,"13,552",5,Software e Serviços de TI,-6.862%,-23.7%,6.1%,3.4%,15,22,2.2,"7,300%",19.12B,"A Totvs já era excelente antes, agora com a Linx tem tudo para melhorar ainda mais com novos negócios e diversificação"
VALE3,Vale,5,"17,565",4,Mineração,-4.724%,65.5%,4.3%,17%,8.6,26,1.4,10%,371.1B,"Bom resultado da Vale, puxado por preços melhores e volumes maiores. Interessante evolução dos metais básicos"
PGMN3,Pague Menos,5,"7,585",4,Varejo - Farmacêutico,-23.43%,36%,4.5%,18%,3.2,15,0.98,-13%,3.265B,"Mais um resultado excelente da Pague Menos, aproveitando a onda positiva para as empresas de varejo farmacêutico"
AURA33,Aura Minerals,5,"7,828",5,Mineração,-23.68%,229%,27%,-200%,8.6,25,0.23,-15%,26.9B,"Agora que o custo do hedge do ouro está acabando, o monstro está saindo da jaula, com esses preços de ouro a Aura voa"
ITSA4,Itaúsa,5,"15,279",5,Holdings,-10.69%,31.2%,2.5%,3.1%,7.6,9.2,0.21,-16%,147B,"Nenhuma surpresa aqui, resultado da Itaúsa basicamente acompanha o Itaú, que tem vindo excelente, logo..."
EQTL3,Equatorial,5,"18,697",4,Energia - Distribuição,-13.9%,8%,0.062%,-4%,8.4,21,4.1,4.4%,48.48B,"Bom resultado da Equatorial, ainda pressionado pelo custo de capital, mas seguindo crescendo o operacional e diminuindo div/EBITDA"
SMFT3,Smart Fit,5,"11,220",5,Varejo - Academias,1.391%,-12.4%,6.2%,8%,4.4,17,1.1,-4.3%,11.97B,"Excelente resultado da SmartFit, um dos cases de crescimento no Brasil mais interessantes atualmente"
LREN3,Lojas Renner,5,"17,541",5,Varejo - Vestuário Geral,3.078%,-10.6%,0.91%,2.5%,4.5,10,-,0%,15.52B,"Belo resultado das Lojas Renner, mesmo com SSS bem pequeno, o resultado foi impressionante para um 1T"
VULC3,Vulcabras,5,"4,402",4,Varejo - Calçados e Artigos Esportivos,-8.651%,-3.14%,1.2%,-2.2%,6.3,4.9,0.75,-14%,4.945B,"Resultado bom da Vulcabras, atenção que teve não recorrente. Operacional bom, mas a graça dos dividendos da empresa cobrou o preço"
TFCO4,Track Field,5,"1,898",4,Varejo - Calçados e Artigos Esportivos,-8.943%,5.35%,2%,0%,9.2,110,0.45,-17%,2.263B,"Mais um belo resultado da Track and Field, um trimestre que várias empresas do varejo tiveram dificuldades, ela passou com mérito"
RIAA3,Riachuelo,5,"2,575",4,Varejo - Vestuário Geral,-8.375%,57.9%,0.45%,2.2%,2,3.1,0.38,660%,4.767B,"Resultado bom da Riachuelo, por mais que a DRE pareça fraca, é uma evolução ante ao 1T25 em um trimestre mais fraco do varejo"
PRIO3,PRIO,5,"22,357",5,Petróleo e Gás,9.091%,75.5%,23%,15%,8.5,22,2.6,-22%,56.11B,"Finalmente consegui fazer a IA dar 5 estrelas para a PRIO, também não tinha como não ser com um dos maiores resultados da história"
BBSE3,BB Seguridade,5,"6,222",5,Seguros,-0.6628%,3.73%,1.4%,1.9%,6.1,7.4,-,0%,67.21B,"Parece que o impacto do agro na BB Seguridade foi muito menor que no Banco do Brasil, resultado muito bom da BBSE no trimestre"
TEND3,Tenda,5,"7,751",5,Construção Civil,-5.008%,48.6%,16%,20%,6.4,6.6,0.48,4.3%,3.976B,"A Tenda é uma das melhores construtoras da bolsa hoje, executando com perfeição a estratégia e colhendo os resultados"
TIMS3,TIM,5,"5,238",5,Telecomunicações,-12.28%,23.8%,1.6%,0.44%,3.8,15,-,0%,54.28B,"Resultado muito bom e robusto da TIM, nenhuma novidade, há um bom tempo as grandes telecoms viraram máquinas de fazer dinheiro"
PNVL3,Grupo Panvel,5,"4,661",5,Varejo - Farmacêutico,-15.86%,40.6%,4.1%,5.6%,5.7,16,2.1,-3.6%,1.788B,"A Panvel continua excelente, surfando na onda do crescimento das empresas de varejo farmacêutico"
ITUB4,Itaú,5,"25,970",5,Bancos,-12.44%,18.2%,,2.5%,,10,-,0%,447.9B,"Itaú continua excelente como sempre, praticamente nada a comentar aqui"
